symbol,method_of_action,cosmic_moa,intogen_moa,huang_et_al_moa,gene_id,dataset_name
PMS1,LoF,NaN,NaN,Tumor Suppressor Gene,SIDG25102,CPV genes
PMS2,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG25103,"Driver genes, CPV genes"
POLD1,ambiguous,TSG,Act,Tumor Suppressor Gene,SIDG25194,"Driver genes, CPV genes"
POLE,ambiguous,TSG,ambiguous,Tumor Suppressor Gene,SIDG25201,"Driver genes, CPV genes"
POLH,LoF,NaN,NaN,Tumor Suppressor Gene,SIDG25207,CPV genes
POLQ,ambiguous,"oncogene, TSG",ambiguous,,SIDG25215,Driver genes
POT1,ambiguous,TSG,ambiguous,Not classified,SIDG25294,"Driver genes, CPV genes"
POU2AF1,Act,"oncogene, fusion",,,SIDG25312,Driver genes
POU2F2,ambiguous,,ambiguous,,SIDG25314,Driver genes
POU5F1,Act,"oncogene, fusion",,,SIDG25323,Driver genes
PPARG,LoF,"TSG, fusion",,,SIDG25346,Driver genes
PPFIBP1,fusion,fusion,,,SIDG25367,Driver genes
PPM1D,ambiguous,oncogene,LoF,,SIDG25493,Driver genes
PPP2R1A,ambiguous,TSG,Act,,SIDG25582,Driver genes
PPP3CA,LoF,,LoF,,SIDG25599,Driver genes
PPP6C,LoF,TSG,LoF,,SIDG25616,Driver genes
PPT2,Act,,Act,,SIDG25624,Driver genes
PRCC,fusion,fusion,,,SIDG25689,Driver genes
PRDM1,LoF,TSG,LoF,,SIDG25693,Driver genes
PRDM16,Act,"oncogene, fusion",,,SIDG25707,Driver genes
PRDM2,ambiguous,,ambiguous,,SIDG25694,Driver genes
PREX2,Act,oncogene,Act,,SIDG25750,Driver genes
PRF1,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG25751,"Driver genes, CPV genes"
PRKACA,Act,oncogene,,,SIDG25774,Driver genes
PRKAR1A,ambiguous,"oncogene, TSG, fusion",LoF,Not classified,SIDG25781,"Driver genes, CPV genes"
PRKCB,Act,,Act,,SIDG25789,Driver genes
PRKCD,LoF,,LoF,,SIDG25790,Driver genes
PRKD2,ambiguous,,ambiguous,,SIDG25801,Driver genes
PRR14,LoF,,LoF,,SIDG25907,Driver genes
PRRX1,Act,fusion,Act,,SIDG25955,Driver genes
PSIP1,Act,"oncogene, fusion",Act,,SIDG26048,Driver genes
PTCH1,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG26185,"Driver genes, CPV genes"
PTEN,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG26200,"Driver genes, CPV genes"
PTK6,ambiguous,"oncogene, TSG",,,SIDG26243,Driver genes
PTMA,LoF,,LoF,,SIDG26246,Driver genes
PTPN11,Act,oncogene,Act,Oncogene,SIDG26287,"Driver genes, CPV genes"
PTPN13,LoF,TSG,LoF,,SIDG26289,Driver genes
PTPN14,LoF,,LoF,,SIDG26290,Driver genes
PTPN6,LoF,,LoF,,SIDG26284,Driver genes
PTPRB,ambiguous,TSG,ambiguous,,SIDG26299,Driver genes
PTPRC,ambiguous,TSG,Act,,SIDG26300,Driver genes
PTPRD,Act,,Act,,SIDG26302,Driver genes
PTPRK,LoF,"TSG, fusion",LoF,,SIDG26312,Driver genes
PTPRT,LoF,TSG,LoF,,SIDG26320,Driver genes
QKI,ambiguous,"oncogene, TSG",LoF,,SIDG26437,Driver genes
RABEP1,LoF,fusion,LoF,,SIDG26561,Driver genes
RAC1,Act,oncogene,Act,,SIDG26576,Driver genes
RAD21,ambiguous,"oncogene, TSG",LoF,,SIDG26601,Driver genes
RAD51B,LoF,"TSG, fusion",,,SIDG26615,Driver genes
RAD51C,LoF,NaN,NaN,Tumor Suppressor Gene,SIDG26616,CPV genes
RAD51D,LoF,NaN,NaN,Tumor Suppressor Gene,SIDG26617,CPV genes
RAF1,Act,"oncogene, fusion",Act,,SIDG26631,Driver genes
RALGDS,Act,,Act,,SIDG26649,Driver genes
RANBP2,LoF,"TSG, fusion",LoF,,SIDG26663,Driver genes
RAP1GDS1,Act,"oncogene, fusion",Act,,SIDG26690,Driver genes
RARA,Act,"oncogene, fusion",Act,,SIDG26706,Driver genes
RASA1,LoF,,LoF,,SIDG26727,Driver genes
RASA2,LoF,,LoF,,SIDG26728,Driver genes
RB1,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG26775,"Driver genes, CPV genes"
RBFOX1,Act,,Act,,SIDG26800,Driver genes
RBFOX2,Act,,Act,,SIDG26801,Driver genes
RBM10,LoF,TSG,LoF,,SIDG26815,Driver genes
RBM15,LoF,fusion,LoF,,SIDG26824,Driver genes
RBM38,ambiguous,,ambiguous,,SIDG26855,Driver genes
RBM39,Act,,Act,,SIDG26856,Driver genes
RECQL4,ambiguous,"oncogene, TSG",LoF,Tumor Suppressor Gene,SIDG27002,"Driver genes, CPV genes"
REL,Act,oncogene,,,SIDG27017,Driver genes
RELA,Act,,Act,,SIDG27018,Driver genes
RET,Act,"oncogene, fusion",Act,Oncogene,SIDG27044,"Driver genes, CPV genes"
RGL3,Act,,Act,,SIDG27121,Driver genes
RGPD3,ambiguous,,ambiguous,,SIDG27130,Driver genes
RGS7,LoF,,LoF,,SIDG27143,Driver genes
RHOA,ambiguous,"oncogene, TSG",Act,,SIDG27184,Driver genes
RHOH,LoF,"TSG, fusion",,,SIDG27194,Driver genes
RHPN2,ambiguous,,ambiguous,,SIDG27216,Driver genes
RIPK1,ambiguous,,ambiguous,,SIDG27256,Driver genes
RMI2,LoF,"TSG, fusion",,,SIDG27287,Driver genes
RNF213,Act,fusion,Act,,SIDG29169,Driver genes
RNF43,LoF,TSG,LoF,,SIDG29110,Driver genes
RNF6,LoF,,LoF,,SIDG29082,Driver genes
ROS1,Act,"oncogene, fusion",,,SIDG31261,Driver genes
RPL10,LoF,TSG,LoF,,SIDG31587,Driver genes
RPL22,ambiguous,"TSG, fusion",Act,,SIDG31990,Driver genes
RPL5,LoF,TSG,,,SIDG31334,Driver genes
RPN1,fusion,fusion,,,SIDG32635,Driver genes
RPS3A,ambiguous,,ambiguous,,SIDG32712,Driver genes
RPS6KA3,LoF,,LoF,,SIDG32814,Driver genes
RRAGC,Act,,Act,,SIDG33406,Driver genes
RRAS2,Act,,Act,,SIDG33409,Driver genes
RSPH10B2,ambiguous,,ambiguous,,SIDG33465,Driver genes
RSPO2,LoF,"TSG, fusion",,,SIDG33468,Driver genes
RSPO3,Act,"oncogene, fusion",,,SIDG33469,Driver genes
RUNX1,ambiguous,"oncogene, TSG, fusion",ambiguous,Oncogene,SIDG33527,"Driver genes, CPV genes"
RUNX1T1,ambiguous,"oncogene, TSG, fusion",ambiguous,,SIDG33529,Driver genes
RXRA,LoF,,LoF,,SIDG33553,Driver genes
SALL4,Act,oncogene,Act,,SIDG33629,Driver genes
SATB1,Act,,Act,,SIDG33700,Driver genes
SBDS,LoF,TSG,NaN,Tumor Suppressor Gene,SIDG33711,"Driver genes, CPV genes"
SDC4,LoF,fusion,LoF,,SIDG33897,Driver genes
SDHA,LoF,TSG,NaN,Not classified,SIDG33914,"Driver genes, CPV genes"
SDHAF2,LoF,TSG,NaN,Tumor Suppressor Gene,SIDG33916,"Driver genes, CPV genes"
SDHB,LoF,TSG,NaN,Tumor Suppressor Gene,SIDG33922,"Driver genes, CPV genes"
SDHC,LoF,TSG,NaN,Tumor Suppressor Gene,SIDG33923,"Driver genes, CPV genes"
SDHD,LoF,TSG,NaN,Tumor Suppressor Gene,SIDG33928,"Driver genes, CPV genes"
SEPTIN9,Act,,Act,,SIDG34099,Driver genes
SET,Act,"oncogene, fusion",Act,,SIDG34205,Driver genes
SETBP1,Act,"oncogene, fusion",Act,Oncogene,SIDG34206,"Driver genes, CPV genes"
SETD1B,LoF,,LoF,,SIDG34208,Driver genes
SETD2,LoF,TSG,LoF,,SIDG34209,Driver genes
SETDB1,Act,,Act,,SIDG34218,Driver genes
SF3B1,Act,oncogene,Act,,SIDG34252,Driver genes
SFMBT2,Act,,Act,,SIDG34261,Driver genes
SFPQ,LoF,"TSG, fusion",,,SIDG34263,Driver genes
SFRP4,LoF,TSG,,,SIDG34270,Driver genes
SGK1,ambiguous,,ambiguous,,SIDG34300,Driver genes
SH2B3,ambiguous,TSG,ambiguous,Not classified,SIDG34322,"Driver genes, CPV genes"
SH3GL1,Act,"oncogene, fusion",,,SIDG34345,Driver genes
SIN3A,Act,,Act,,SIDG34465,Driver genes
SIRPA,LoF,,LoF,,SIDG34475,Driver genes
SIX1,ambiguous,oncogene,LoF,,SIDG34493,Driver genes
SLC34A2,LoF,"TSG, fusion",,,SIDG34911,Driver genes
SLC45A3,LoF,fusion,LoF,,SIDG34994,Driver genes
SMAD2,LoF,TSG,LoF,,SIDG35068,Driver genes
SMAD3,LoF,TSG,LoF,,SIDG35069,Driver genes
SMAD4,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG35070,"Driver genes, CPV genes"
SMARCA1,LoF,,LoF,,SIDG35081,Driver genes
SMARCA4,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG35083,"Driver genes, CPV genes"
SMARCB1,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG35088,"Driver genes, CPV genes"
SMARCD1,ambiguous,TSG,ambiguous,,SIDG35091,Driver genes
SMARCE1,LoF,TSG,NaN,Not classified,SIDG35094,"Driver genes, CPV genes"
SMC1A,Act,,Act,,SIDG35103,Driver genes
SMO,Act,oncogene,Act,,SIDG35197,Driver genes
SND1,Act,"oncogene, fusion",,,SIDG35283,Driver genes
SOCS1,LoF,TSG,LoF,,SIDG36031,Driver genes
SOHLH2,Act,,Act,,SIDG36057,Driver genes
SOS1,Act,NaN,Act,Not classified,SIDG36071,"Driver genes, CPV genes"
SOX17,Act,,Act,,SIDG36100,Driver genes
SOX2,Act,oncogene,,,SIDG36082,Driver genes
SOX21,LoF,,LoF,,SIDG36102,Driver genes
SOX9,LoF,,LoF,,SIDG36092,Driver genes
SP140,ambiguous,,ambiguous,,SIDG36119,Driver genes
SPEN,ambiguous,TSG,ambiguous,,SIDG36265,Driver genes
SPOP,ambiguous,TSG,Act,,SIDG36335,Driver genes
SRC,Act,oncogene,,,SIDG36405,Driver genes
SRGAP3,Act,,Act,,SIDG36427,Driver genes
SRSF2,Act,oncogene,Act,,SIDG36484,Driver genes
SRSF3,Act,"oncogene, fusion",,,SIDG36485,Driver genes
SS18,fusion,fusion,,,SIDG36501,Driver genes
SS18L1,fusion,fusion,,,SIDG36502,Driver genes
SSX1,Act,"oncogene, fusion",,,SIDG36551,Driver genes
SSX2,Act,"oncogene, fusion",,,SIDG36552,Driver genes
SSX4,Act,"oncogene, fusion",,,SIDG36556,Driver genes
STAG2,LoF,TSG,LoF,,SIDG36646,Driver genes
STAT3,ambiguous,oncogene,ambiguous,Oncogene,SIDG36681,"Driver genes, CPV genes"
STAT5B,ambiguous,"oncogene, TSG, fusion",ambiguous,,SIDG36684,Driver genes
STAT6,Act,"oncogene, fusion",Act,,SIDG36685,Driver genes
STIL,ambiguous,"oncogene, fusion",ambiguous,,SIDG36701,Driver genes
STK11,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG36713,"Driver genes, CPV genes"
STRN,ambiguous,fusion,ambiguous,,SIDG36778,Driver genes
SUFU,LoF,TSG,NaN,Tumor Suppressor Gene,SIDG36842,"Driver genes, CPV genes"
SUSD2,Act,,Act,,SIDG36927,Driver genes
SUZ12,ambiguous,"oncogene, TSG, fusion",Act,,SIDG36936,Driver genes
SYK,Act,"oncogene, fusion",,,SIDG36972,Driver genes
TAF15,ambiguous,"oncogene, fusion",ambiguous,,SIDG37106,Driver genes
TAL1,Act,"oncogene, fusion",,,SIDG37113,Driver genes
TAL2,Act,"oncogene, fusion",,,SIDG37114,Driver genes
TBL1XR1,ambiguous,"oncogene, TSG, fusion",LoF,,SIDG37273,Driver genes
TBX3,ambiguous,"oncogene, TSG",LoF,,SIDG37288,Driver genes
TCEA1,fusion,fusion,,,SIDG37315,Driver genes
TCF12,fusion,fusion,,,SIDG37348,Driver genes
TCF3,ambiguous,"oncogene, TSG, fusion",,,SIDG37339,Driver genes
TCF4,Act,,Act,,SIDG37341,Driver genes
TCF7L2,Act,"oncogene, fusion",Act,,SIDG37347,Driver genes
TCIRG1,LoF,,LoF,,SIDG37361,Driver genes
TCL1A,Act,"oncogene, fusion",,,SIDG37362,Driver genes
TEC,LoF,,LoF,,SIDG37424,Driver genes
TENT5C,LoF,TSG,LoF,,SIDG08401,Driver genes
TERT,ambiguous,"oncogene, TSG",NaN,Oncogene,SIDG37472,"Driver genes, CPV genes"
TET1,ambiguous,"oncogene, TSG, fusion",ambiguous,,SIDG37480,Driver genes
TET2,LoF,TSG,LoF,,SIDG37482,Driver genes
TFAP4,LoF,,LoF,,SIDG37540,Driver genes
TFE3,Act,"oncogene, fusion",,,SIDG37549,Driver genes
TFEB,Act,"oncogene, fusion",,,SIDG37550,Driver genes
TFG,LoF,fusion,LoF,,SIDG37555,Driver genes
TGFBR2,LoF,TSG,LoF,,SIDG37577,Driver genes
TGIF1,LoF,,LoF,,SIDG37582,Driver genes
TLL1,Act,,Act,,SIDG37773,Driver genes
TLX1,Act,"oncogene, fusion",,,SIDG37790,Driver genes
TLX3,Act,"oncogene, fusion",,,SIDG37793,Driver genes
TMEM127,LoF,TSG,NaN,Not classified,SIDG37976,"Driver genes, CPV genes"
TMPRSS2,fusion,fusion,,,SIDG38164,Driver genes
TNC,ambiguous,,ambiguous,,SIDG38209,Driver genes
TNFAIP3,LoF,TSG,LoF,,SIDG38213,Driver genes
TNFRSF14,LoF,TSG,LoF,,SIDG38237,Driver genes
TNFRSF17,Act,"oncogene, fusion",,,SIDG38239,Driver genes
TOP1,LoF,fusion,LoF,,SIDG38338,Driver genes
TOP2A,Act,,Act,,SIDG38342,Driver genes
TP53,ambiguous,"oncogene, TSG, fusion",LoF,Tumor Suppressor Gene,SIDG38363,"Driver genes, CPV genes"
TP63,ambiguous,"oncogene, TSG",ambiguous,,SIDG38385,Driver genes
TPM3,LoF,"TSG, fusion",,,SIDG38409,Driver genes
TPM4,fusion,fusion,,,SIDG38419,Driver genes
TPR,fusion,fusion,,,SIDG38432,Driver genes
TRA,fusion,fusion,,,SIDG38485,Driver genes
TRAF3,LoF,,LoF,,SIDG38541,Driver genes
TRAF7,LoF,TSG,,,SIDG38550,Driver genes
TRB,fusion,fusion,,,SIDG38705,Driver genes
TRD,fusion,fusion,,,SIDG38834,Driver genes
TRIM24,ambiguous,"oncogene, TSG, fusion",Act,,SIDG39069,Driver genes
TRIM27,Act,"oncogene, fusion",,,SIDG39073,Driver genes
TRIM33,ambiguous,"TSG, fusion",ambiguous,,SIDG39079,Driver genes
TRIM49C,Act,,Act,,SIDG39101,Driver genes
TRIP11,Act,fusion,Act,,SIDG39174,Driver genes
TRRAP,ambiguous,oncogene,ambiguous,,SIDG39494,Driver genes
TSC1,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG39640,"Driver genes, CPV genes"
TSC2,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG39641,"Driver genes, CPV genes"
TSHR,Act,oncogene,,,SIDG39662,Driver genes
U2AF1,Act,oncogene,Act,,SIDG40048,Driver genes
U2AF2,Act,,Act,,SIDG40051,Driver genes
UBE2A,LoF,,LoF,,SIDG40094,Driver genes
UBE2D2,Act,,Act,,SIDG40103,Driver genes
UBR5,ambiguous,oncogene,ambiguous,,SIDG40228,Driver genes
UGT2B17,Act,,Act,,SIDG40313,Driver genes
USP44,LoF,,LoF,,SIDG40580,Driver genes
USP6,Act,"oncogene, fusion",Act,,SIDG40461,Driver genes
USP8,ambiguous,oncogene,ambiguous,,SIDG40464,Driver genes
USP9X,LoF,,LoF,,SIDG40466,Driver genes
VAV1,Act,,Act,,SIDG40639,Driver genes
VHL,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG40703,"Driver genes, CPV genes"
WAS,ambiguous,oncogene,LoF,Not classified,SIDG40973,"Driver genes, CPV genes"
WDCP,fusion,fusion,,,SIDG41021,Driver genes
WDR45,LoF,,LoF,,SIDG41061,Driver genes
WIF1,LoF,"TSG, fusion",,,SIDG41133,Driver genes
WNK2,ambiguous,,ambiguous,,SIDG41146,Driver genes
WNK4,ambiguous,,ambiguous,,SIDG41148,Driver genes
WRN,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG41173,"Driver genes, CPV genes"
WT1,ambiguous,"oncogene, TSG, fusion",LoF,Tumor Suppressor Gene,SIDG41181,"Driver genes, CPV genes"
WWTR1,Act,"oncogene, fusion",,,SIDG41198,Driver genes
XPA,LoF,TSG,NaN,Tumor Suppressor Gene,SIDG41252,"Driver genes, CPV genes"
XPC,LoF,TSG,LoF,Tumor Suppressor Gene,SIDG41254,"Driver genes, CPV genes"
XPO1,Act,oncogene,Act,,SIDG41258,Driver genes
YWHAE,LoF,"TSG, fusion",,,SIDG41361,Driver genes
ZBTB16,ambiguous,"TSG, fusion",ambiguous,,SIDG41438,Driver genes
ZBTB20,Act,,Act,,SIDG41441,Driver genes
ZBTB7B,Act,,Act,,SIDG41424,Driver genes
ZCRB1,LoF,,LoF,,SIDG41513,Driver genes
ZEB1,LoF,,LoF,,SIDG41549,Driver genes
ZFHX3,LoF,TSG,LoF,,SIDG41569,Driver genes
ZFP36L1,LoF,,LoF,,SIDG41579,Driver genes
ZFX,LoF,,LoF,,SIDG41602,Driver genes
ZMYM2,fusion,fusion,,,SIDG41654,Driver genes
ZNF148,Act,,Act,,SIDG41805,Driver genes
ZNF165,LoF,,LoF,,SIDG41817,Driver genes
ZNF208,ambiguous,,ambiguous,,SIDG41848,Driver genes
ZNF331,LoF,"TSG, fusion",,,SIDG41941,Driver genes
ZNF384,fusion,fusion,,,SIDG41967,Driver genes
ZNF429,LoF,,LoF,,SIDG41999,Driver genes
ZNF521,Act,"oncogene, fusion",Act,,SIDG42069,Driver genes
ZNF626,ambiguous,,ambiguous,,SIDG42171,Driver genes
ZNF680,ambiguous,,ambiguous,,SIDG42214,Driver genes
ZNF721,ambiguous,,ambiguous,,SIDG42255,Driver genes
ZNF780A,Act,,Act,,SIDG42307,Driver genes
ZNF814,Act,,Act,,SIDG42334,Driver genes
ZNF93,LoF,,LoF,,SIDG41755,Driver genes
ZNRF3,LoF,,LoF,,SIDG42403,Driver genes
ZRSR2,LoF,TSG,LoF,,SIDG42422,Driver genes
ZXDB,LoF,,LoF,,SIDG42467,Driver genes
